country,code,hdi,life_expectancy,expected_schooling,mean_schooling,gni_per_capita,happiness_score,social_support_contrib,freedom_contrib,generosity_contrib,corruption_contrib,gdp_per_capita,health_expenditure,unemployment,inflation,population,cpi_score
Iceland,ISL,0.972,82.691,18.85058975,13.90892628,69116.93736,7.525,1.617,0.819,0.258,0.182,82138.7892973557,8.70510101,3.518,8.73630299937298,385663.0,77
Norway,NOR,0.97,83.308,18.79285049,13.11796218,112710.0211,7.302,1.517,0.835,0.224,0.484,87497.2179649556,9.42925453,3.574,5.51784987104659,5519601.0,81
Switzerland,CHE,0.97,83.954,16.66753006,13.94912109,81948.90177,7.06,1.425,0.759,0.173,0.498,100623.549627296,11.69096088,4.043,2.13540088016386,8888822.0,80
Denmark,DNK,0.962,81.933,18.70401001,13.0273206,76007.85669,7.583,1.52,0.823,0.204,0.548,68043.5466971243,9.5572958,5.094,3.30517811237605,5946952.0,89
Germany,DEU,0.959,81.378,17.30921936,14.29637163,64053.22124,6.719,1.39,0.7,0.174,0.368,54776.7668235491,11.74428654,3.071,5.94643667725823,83287273.0,77
Sweden,SWE,0.959,83.262,18.99147034,12.74032574,66102.08595,7.344,1.501,0.838,0.221,0.524,54950.2834725622,11.152915,7.611,8.5486248974891,10536632.0,80
Australia,AUS,0.958,83.923,20.65477943,12.86999989,58276.87643,7.057,1.461,0.756,0.225,0.323,65058.3773146674,10.39852047,3.668,5.59701792296707,26659922.0,76
Netherlands,NLD,0.955,82.158,18.58485031,12.66994689,68344.30826,7.319,1.462,0.725,0.247,0.372,63515.6030780019,9.83150005,3.535,3.83839354342808,17877117.0,78
Belgium,BEL,0.951,82.115,18.99603081,12.68965045,63582.47535,6.894,1.44,0.729,0.17,0.311,55291.4754541329,10.80371571,5.547,4.04901077613941,11779946.0,69
Ireland,IRL,0.949,82.412,19.1848793,11.72499956,90884.63459,6.838,1.39,0.758,0.205,0.418,106818.917130804,6.57538509,4.243,6.29942487419125,5311538.0,76
Finland,FIN,0.948,81.91,19.49408913,12.97962547,57067.63693,7.741,1.572,0.859,0.142,0.546,52834.2916752703,10.47389507,7.149,6.25064322154762,5583911.0,88
Singapore,SGP,0.946,83.736,16.74227905,11.98999977,111239.2291,6.523,1.361,0.743,0.168,0.575,85412.230345235,4.49163246,3.444,4.83372362825798,5917648.0,84
United Kingdom,GBR,0.946,81.302,17.81106949,13.48999977,54371.58634,6.749,1.326,0.713,0.267,0.351,49944.4702124201,10.99128914,4.025,6.79396706793963,68492000.0,70
United Arab Emirates,ARE,0.94,82.909,15.60159016,12.98999977,71142.30475,6.733,1.164,0.815,0.209,0.258,49850.6872175164,4.97095108,2.151,1.62670837213248,10483751.0,69
Canada,CAN,0.939,82.63,15.88825989,13.86999989,54688.41729,6.9,1.459,0.73,0.23,0.368,54220.3285039875,11.18692875,5.415,3.87900159788425,40083484.0,75
New Zealand,NZL,0.938,82.088,19.30005074,12.88299807,47259.60137,7.029,1.527,0.746,0.226,0.48,49075.9562832927,10.12947655,3.734,5.73316283034957,5200000.0,81
United States,USA,0.938,79.304,15.92300034,13.90999985,73650.03077,6.725,1.392,0.586,0.223,0.169,81032.262117545,16.69414902,3.638,4.11633838374488,336806231.0,64
Korea (Republic of),KOR,0.937,84.329,16.6186409,12.72219869,49726.45327,6.058,1.178,0.555,0.126,0.158,35674.095995632,8.5650692,2.675,3.5974562502901,51712619.0,63
Slovenia,SVN,0.931,81.603,17.47717094,12.95120192,46360.80779,6.743,1.502,0.789,0.157,0.131,32660.4753581346,9.30008888,3.652,7.44687717385838,2120461.0,58
Austria,AUT,0.93,81.956,16.28428078,12.36146506,63479.20843,6.905,1.336,0.703,0.214,0.305,56579.504175468,11.15297318,5.264,7.81413417002831,9131761.0,69
Japan,JPN,0.925,84.712,15.51198006,12.68404671,47774.60973,6.06,1.354,0.632,0.023,0.219,33836.1756271617,10.73979473,2.6,3.26813365933163,124516650.0,71
Malta,MLT,0.924,83.299,15.90985012,12.4207021,52155.07487,6.346,1.444,0.727,0.25,0.125,40905.8059585057,8.84301376,3.479,5.09396758978883,552747.0,49
Luxembourg,LUX,0.922,82.229,14.35795021,12.58937195,85461.24833,7.122,1.355,0.801,0.146,0.432,133230.619178899,5.78777981,5.184,3.74140361983136,666430.0,78
France,FRA,0.92,83.325,16.09511948,11.7656677,55060.16038,6.609,1.348,0.65,0.112,0.281,44700.1384177544,11.51974583,7.335,4.8783572650844,68372286.0,66
Israel,ISR,0.919,82.408,14.93416023,13.53459474,48050.11176,7.341,1.513,0.641,0.153,0.193,52003.7200729997,7.09822369,3.371,4.22522603168918,9849000.0,62
Spain,ESP,0.918,83.67,17.83031082,10.75612495,46008.44221,6.421,1.471,0.619,0.119,0.177,33493.2225409111,9.2206583,12.179,3.53236133492432,48352528.0,55
Czechia,CZE,0.915,79.834,16.7935009,12.96318214,45889.01401,6.822,1.511,0.787,0.177,0.068,31761.5944102491,8.42677402,2.579,10.6612601372427,10864042.0,59
Italy,ITA,0.915,83.716,16.71419907,10.82812827,52388.88306,6.324,1.328,0.513,0.112,0.074,39277.0838783918,8.40559483,7.627,5.62219442195901,58984216.0,53
Cyprus,CYP,0.913,81.648,16.21559906,12.5573721,45394.15625,6.068,1.217,0.529,0.124,0.049,36623.69140625,8.11912918,5.835,3.54134188751663,1344976.0,55
Greece,GRC,0.908,81.857,20.84550095,11.55385642,35760.74915,5.934,1.276,0.337,0.018,0.093,23343.7103964562,8.39367008,11.023,3.46480128513405,10407351.0,50
Poland,POL,0.906,78.633,16.67827988,13.20854242,42217.63778,6.442,1.417,0.6,0.081,0.175,22145.2660647429,7.13848782,2.743,11.5289127961105,36687353.0,53
Estonia,EST,0.905,79.153,15.96786022,13.56216597,40880.93044,6.448,1.527,0.805,0.166,0.401,30264.0064885057,7.47082138,6.378,9.15922507983982,1370286.0,76
Saudi Arabia,SAU,0.9,78.732,16.94943047,11.60642778,50298.91363,6.594,1.361,0.787,0.114,0.188,36156.848337701,5.68722248,4.008,2.32708518362706,33702731.0,57
Lithuania,LTU,0.895,76.025,16.45467949,13.61069239,41916.46579,6.818,1.454,0.533,0.044,0.116,27786.0057829276,7.31801939,6.841,9.11731962390475,2871585.0,65
Portugal,PRT,0.89,82.36,17.48682022,9.703254412,41063.92568,6.03,1.368,0.757,0.047,0.035,27634.6183139773,10.02761173,6.498,4.31128191898672,10578174.0,56
Croatia,HRV,0.889,78.58,16.34815025,12.0951217,41379.89027,5.942,1.445,0.469,0.064,0.043,22184.2279304842,7.14699411,6.121,7.9412817758683,3859686.0,47
Latvia,LVA,0.889,76.19,16.48265076,13.40943983,37997.82233,6.234,1.508,0.666,0.127,0.078,22710.2637544197,7.27783823,6.465,8.9380462331663,1883710.0,60
Slovakia,SVK,0.88,78.341,14.94684982,13.10320397,36792.98874,6.257,1.54,0.566,0.096,0.058,24614.8734642794,7.35262203,5.843,10.5319476645211,5426740.0,48
Chile,CHL,0.878,81.167,16.91242027,11.29105394,28047.1698,6.36,1.369,0.651,0.117,0.075,17067.0364799154,10.17470455,9.013,7.58168251407962,19658835.0,63
Hungary,HUN,0.87,77.024,15.46940041,12.33162229,37236.07462,6.017,1.528,0.581,0.123,0.067,22230.6277875187,6.36868954,4.096,17.1249659678737,9592186.0,40
Argentina,ARG,0.865,77.395,18.83120918,11.18458184,25876.05307,6.188,1.381,0.681,0.087,0.08,14261.8465667948,10.2695179,6.139,133.488935594175,45538401.0,36
Montenegro,MNE,0.862,77.087,15.53652954,12.77392572,28026.3304,5.707,1.318,0.632,0.11,0.132,12259.8775034436,9.6549921,13.146,8.58476910455403,623529.0,46
Uruguay,URY,0.862,78.138,17.4839592,10.53999996,28649.82199,6.611,1.431,0.775,0.106,0.22,23019.4221560046,9.01887608,8.355,5.86910359896119,3388081.0,73
Türkiye,TUR,0.853,77.156,19.8307991,8.98624366,34506.98065,4.975,1.175,0.202,0.068,0.115,13375.0947282864,4.27524424,9.388,53.8594087593315,85325965.0,31
Kuwait,KWT,0.852,80.405,15.90424029,7.566007112,56612.04699,6.951,1.364,0.827,0.2,0.172,34075.849012909,4.96311998,2.08,3.64216403030709,4853420.0,46
Bulgaria,BGR,0.845,75.636,15.3166399,11.45453092,32174.93003,5.463,1.469,0.62,0.083,0.006,15853.208636704,7.91853094,4.319,9.44284140088564,6446596.0,40
Romania,ROU,0.845,75.938,14.05288029,11.55000019,39374.25372,6.491,1.236,0.717,0.041,0.006,18244.4186876321,5.70901489,5.589,10.3971874764996,19061062.0,45
Georgia,GEO,0.844,74.496,16.75470924,12.69999981,20752.57009,5.185,0.99,0.68,0.0,0.174,8283.66960652261,6.85758877,11.549,2.48776056578715,3715483.0,50
Panama,PAN,0.839,79.594,13.3116098,10.83375095,34384.56813,6.358,1.392,0.72,0.063,0.043,18797.1933994045,8.33022976,6.544,1.48641355277038,4458759.0,33
Kazakhstan,KAZ,0.837,74.402,14.0086174,12.54717423,30988.52844,6.188,1.457,0.733,0.149,0.12,12879.4275257974,3.76701546,4.835,14.5275597825952,20330104.0,38
Costa Rica,CRI,0.833,80.799,16.34963687,8.844752499,23417.21315,6.955,1.373,0.797,0.109,0.123,16942.0268119375,6.8663702,8.325,0.525193508693455,5105525.0,56
Serbia,SRB,0.833,76.769,15.04216003,11.64171812,23114.80953,6.411,1.391,0.663,0.2,0.101,12281.707946167,8.03133774,8.268,12.3719043552519,6623183.0,33
Russian Federation,RUS,0.832,73.154,13.18515015,12.40999985,39221.68359,5.785,1.351,0.551,0.138,0.121,14159.3876953125,7.04438496,3.076,5.86571931748967,143826130.0,22
Malaysia,MYS,0.819,76.657,12.67639256,11.09000015,32553.09108,5.975,1.143,0.829,0.226,0.119,11386.0395636528,3.95760036,3.858,2.48886560125754,35126298.0,52
North Macedonia,MKD,0.815,77.395,14.78143978,10.22999954,22128.39461,5.369,1.277,0.58,0.194,0.015,8674.35846327485,7.42730284,13.174,9.36187249769015,1827816.0,40
Armenia,ARM,0.811,75.683,14.3838501,11.34497821,20220.72319,5.455,1.154,0.65,0.051,0.173,8159.08720967996,9.32119179,12.405,1.98041877615553,2964300.0,46
Albania,ALB,0.81,79.602,14.51014996,10.17531099,17627.39404,5.304,0.924,0.69,0.138,0.049,9730.86921906893,7.05240345,10.669,4.75834555150038,2414095.0,39
Mauritius,MUS,0.806,74.926,14.16282114,10.10332754,27279.96011,5.816,1.358,0.641,0.123,0.118,11269.9684462139,5.56544495,5.571,7.05298238454736,1248647.0,48
Bosnia and Herzegovina,BIH,0.804,77.85,13.16394043,10.97000027,19827.48588,5.877,1.318,0.621,0.246,0.0,8663.02326458629,8.9216938,10.668,6.1059011284828,3185073.0,34
Iran (Islamic Republic of),IRN,0.799,77.654,13.96833061,10.84671198,16095.77169,4.923,1.136,0.366,0.235,0.123,5049.29931642754,6.02542305,8.129,44.5791857572797,90608707.0,23
Thailand,THA,0.798,76.412,15.35883492,9.039999962,20569.90176,5.976,1.347,0.756,0.283,0.024,7195.10130919449,4.53787661,0.733,8.47805174421543,71702435.0,33
China,CHN,0.797,77.953,15.4787495,8.036181597,22029.22253,5.973,1.239,0.704,0.132,0.164,12951.1782397043,5.94388866,4.67,0.23483682889305,1410710000.0,43
Peru,PER,0.794,77.74,14.90939376,10.15465159,14338.70977,5.841,1.18,0.615,0.078,0.029,7887.54185920108,5.63786411,4.899,6.45561348369586,33845617.0,30
Azerbaijan,AZE,0.789,74.429,12.90977955,11.06999969,20667.95729,4.893,0.876,0.668,0.112,0.199,7133.02838048328,4.27113533,5.64,8.7854304984908,10153958.0,30
Mexico,MEX,0.789,75.069,14.46811008,9.349510934,21812.65566,6.678,1.241,0.722,0.086,0.127,13860.9597809326,5.50398684,2.765,5.52796087314389,129739759.0,27
Colombia,COL,0.788,77.725,14.28641033,9.031581597,18665.94967,5.695,1.241,0.644,0.072,0.059,7000.83660501046,8.15838146,9.591,11.7359044948689,52321152.0,37
Brazil,BRA,0.786,75.848,15.7927103,8.425371752,18011.28546,6.272,1.269,0.685,0.13,0.142,10377.5897719195,9.73092747,7.947,4.59356282283203,211140729.0,35
Moldova (Republic of),MDA,0.785,71.198,14.63856847,11.82999992,15866.54207,5.816,1.277,0.695,0.077,0.044,6799.58594644576,6.7359705,1.57,13.4170104381299,2457783.0,42
Ecuador,ECU,0.777,77.392,14.85167027,8.970000267,13986.39698,5.725,1.151,0.606,0.087,0.078,6737.84748379638,7.56167889,3.51,2.21568764237058,17980083.0,33
Dominican Republic,DOM,0.776,73.72,13.61692047,9.444525756,22023.51059,5.823,1.272,0.73,0.086,0.196,10630.431743829,4.59880495,5.555,4.78561281021135,11331265.0,37
Sri Lanka,LKA,0.776,77.483,13.12815666,10.77000046,12615.60045,3.898,1.179,0.583,0.144,0.031,3798.89016573011,3.68313766,4.528,16.5411742279832,22037000.0,35
Viet Nam,VNM,0.766,74.588,15.45771503,8.979999542,13032.63533,6.043,1.267,0.843,0.094,0.16,4323.35031982451,4.56109476,1.645,3.25289282667662,100352192.0,41
Algeria,DZA,0.763,76.261,15.4951601,7.416386987,15114.17175,5.364,1.191,0.247,0.091,0.2,5370.477235078,4.35082531,11.645,9.32217375928322,46164219.0,34
Paraguay,PRY,0.756,73.844,13.98706964,8.930653385,15252.22016,5.977,1.408,0.788,0.131,0.065,6299.99026533713,8.35731316,5.794,4.63202285403356,6844146.0,24
Egypt,EGY,0.754,71.633,13.12716193,10.13611962,16218.13521,3.977,0.996,0.49,0.025,0.259,3456.78968456253,4.88449335,6.753,33.8847763115546,114535772.0,30
Jordan,JOR,0.754,77.814,13.1090498,10.23999977,9221.872358,4.186,0.983,0.593,0.059,0.189,4466.08314208575,7.66000605,16.62,2.08486986327134,11439213.0,50
Lebanon,LBN,0.752,77.817,11.68299961,10.36999989,11298.88724,2.707,0.577,0.173,0.068,0.029,3477.72489842684,5.57497263,10.985,221.341644023365,5773493.0,23
Mongolia,MNG,0.747,71.734,13.6376543,9.420000076,14787.08237,5.696,1.511,0.501,0.237,0.055,5838.63108083902,6.07207489,5.178,10.347583131434,3481145.0,31
Tunisia,TUN,0.746,76.508,14.67349856,7.594920158,12011.38785,4.422,0.955,0.254,0.024,0.018,3951.11683376921,7.98537874,15.106,9.32899597507865,12200431.0,39
South Africa,ZAF,0.741,66.139,13.79325008,11.60999966,13693.98858,5.422,1.369,0.537,0.078,0.034,6034.27208964673,8.90966797,32.098,6.0752438457966,63212384.0,41
Uzbekistan,UZB,0.74,72.388,12.46086979,11.90999985,8825.730893,6.195,1.394,0.835,0.251,0.215,2878.96879292451,6.74312878,4.434,9.95659071258018,35652307.0,31
Bolivia (Plurinational State of),BOL,0.733,68.581,15.61065006,10.02122319,9445.244868,5.784,1.179,0.719,0.1,0.061,4274.70820547613,6.91864729,3.024,2.57688800489192,12244159.0,28
Gabon,GAB,0.733,68.337,12.48275889,9.686,18854.06151,5.106,1.038,0.516,0.045,0.1,7802.82433276138,3.13430715,20.161,3.62901534185376,2484789.0,29
Botswana,BWA,0.731,69.163,11.42568016,10.478,16983.77103,3.383,0.969,0.567,0.014,0.082,7826.35376483298,6.25574684,23.381,5.06761549343829,2480244.0,58
Indonesia,IDN,0.728,71.146,13.33577728,8.6972232,13700.12989,5.568,1.184,0.779,0.399,0.055,4876.30774512252,2.70239949,3.308,3.66938654859761,281190067.0,34
Libya,LBY,0.721,69.339,12.92465677,7.77860643,19831.43236,5.866,1.1,0.592,0.111,0.204,6026.51518708812,7.80515862,18.713,2.37317531435169,7305659.0,13
Jamaica,JAM,0.72,71.479,12.3833955,9.959910393,10056.98531,5.842,1.324,0.647,0.089,0.028,7542.40084275345,7.60493946,3.022,6.47413734662063,2839786.0,44
Kyrgyzstan,KGZ,0.72,71.677,12.71388245,12.06588858,6078.117589,5.714,1.477,0.834,0.225,0.03,2138.22210211478,4.50344467,3.498,10.7532770416742,7099750.0,26
Philippines,PHL,0.72,69.833,12.81904666,9.977239609,10731.20422,6.048,1.146,0.826,0.099,0.136,3804.08274131097,5.10122538,2.2,5.97802515541409,114891199.0,32
Morocco,MAR,0.71,75.313,15.07499027,6.198,8652.880859,4.795,0.471,0.631,0.042,0.082,3813.72607421875,6.06396198,8.896,6.09114152504141,37712505.0,39
Nicaragua,NIC,0.706,74.947,11.51021957,9.933019638,6881.479609,6.284,1.263,0.793,0.133,0.251,2609.44492072931,8.29879284,4.698,8.38765854872536,6823613.0,14
Iraq,IRQ,0.695,72.324,12.35940135,6.780046287,12653.52469,5.166,0.996,0.425,0.141,0.048,5965.31835077761,5.53275251,15.239,4.35835351089586,45074049.0,28
Bangladesh,BGD,0.685,74.672,12.31016827,6.789999962,8497.658639,3.886,0.249,0.775,0.14,0.167,2551.01773827307,2.17014575,3.352,9.8835030377921,171466990.0,24
India,IND,0.685,72.003,12.95454025,6.880000114,9046.756336,4.054,0.653,0.767,0.174,0.122,2530.12031278204,3.33944035,4.172,5.64914318907925,1438069596.0,39
El Salvador,SLV,0.678,72.099,11.11291027,7.300000191,10594.84201,6.469,1.08,0.816,0.083,0.253,5365.44491399171,9.28738594,2.992,4.04554694222477,6309624.0,32
Namibia,NAM,0.665,67.385,11.78505588,7.273146745,10916.60872,4.832,1.212,0.47,0.069,0.061,4187.60500396525,9.48251629,19.154,5.87993463284275,2963095.0,46
Guatemala,GTM,0.662,72.602,10.67763042,5.847300053,12458.604,6.287,1.169,0.735,0.105,0.078,5758.32760847852,6.80241346,2.344,6.20657592272126,18124838.0,26
Congo,COG,0.649,65.772,12.68194711,8.322644792,5902.599066,5.221,0.622,0.523,0.124,0.138,2477.97845544866,3.29744148,19.919,4.30174563591016,6182885.0,23
Honduras,HND,0.645,72.884,10.16220647,7.510229074,6064.785783,5.968,1.035,0.72,0.175,0.081,3227.45762509776,7.70976162,6.07,6.66325180347457,10644851.0,22
Ghana,GHA,0.628,65.498,11.41845989,7.107210159,6846.352204,4.289,0.747,0.623,0.183,0.028,2383.90410483418,2.94686937,2.829,38.1069656296501,33787914.0,43
Kenya,KEN,0.628,63.646,11.47407573,8.624710083,5608.296066,4.47,0.895,0.519,0.282,0.069,1942.58802756191,4.35172892,5.409,7.67139634029402,55339003.0,30
Nepal,NPL,0.622,70.354,13.75430393,4.50372982,4725.930613,5.158,0.99,0.653,0.209,0.115,1382.33055769304,6.15843678,10.437,7.11587261530826,29694614.0,34
Lao People's Democratic Republic,LAO,0.617,68.964,9.605483055,6.06024616,8106.153218,5.139,0.846,0.796,0.17,0.167,2066.94979776957,1.32651615,1.186,31.2301341732646,7664993.0,34
Cambodia,KHM,0.606,70.668,11.19789219,5.197100163,4931.016842,4.341,1.019,0.863,0.17,0.071,2429.74853452838,4.61706829,0.256,2.12746796594194,17423880.0,20
Comoros,COM,0.603,66.777,13.29446063,6.006840229,3481.12144,3.566,0.328,0.172,0.128,0.16,1560.27378476855,6.55212021,3.833,8.37373955490995,850387.0,20
Zambia,ZMB,0.595,66.349,11.02052892,7.397408543,3446.675821,3.502,0.809,0.727,0.168,0.109,1330.72780576709,5.97841072,5.861,10.884531691282,20723965.0,37
Cameroon,CMR,0.588,63.7,10.79187965,6.574180412,4746.26582,4.874,0.856,0.521,0.126,0.06,1720.47510154506,4.5545516,3.607,7.38281384280983,28372687.0,26
Côte d'Ivoire,CIV,0.582,61.944,11.41112995,4.869999886,6735.416265,5.08,0.578,0.547,0.12,0.164,2591.9659048119,3.43218303,2.263,4.36972254867474,31165654.0,43
Uganda,UGA,0.582,68.252,11.56404819,6.323663082,2736.410021,4.372,1.151,0.587,0.178,0.054,1002.30913917142,4.23600149,2.754,5.35094804280395,48656601.0,25
Togo,TGO,0.571,62.739,13.09642387,5.861114619,2855.963828,4.214,0.586,0.453,0.127,0.156,1055.01727877926,6.10829544,1.942,5.48928568141131,9304337.0,32
Mauritania,MRT,0.563,68.484,7.949540636,4.852025862,6267.470808,4.505,0.705,0.343,0.133,0.198,2135.78187606359,4.34333467,10.37,4.95305034506872,5022441.0,30
Nigeria,NGA,0.56,54.462,10.51407,7.585969925,5569.374975,4.881,1.075,0.566,0.201,0.019,2138.76383719983,4.19086456,3.074,24.659550203114,227882945.0,26
Tanzania (United Republic of),TZA,0.555,66.995,8.585740089,6.065350056,3514.632861,3.781,0.706,0.709,0.191,0.257,1224.00219726563,3.05201221,1.565,3.79923291384916,66617606.0,40
Lesotho,LSO,0.55,57.375,10.98659352,7.729883486,3029.3857,3.186,0.851,0.523,0.082,0.085,916.282976983803,12.61182117,16.348,6.34221743124953,2311472.0,37
Pakistan,PAK,0.544,67.649,7.89510849,4.316987038,5501.132932,4.657,0.6,0.542,0.144,0.074,1360.32417758419,2.51988316,5.237,30.7681280657005,247504495.0,28
Senegal,SEN,0.53,68.683,9.142709732,2.934554012,4202.030729,4.969,0.751,0.607,0.152,0.069,1698.03387300843,4.32314825,2.784,5.93947798773215,18077573.0,46
Gambia,GMB,0.524,65.86,8.977899686,4.674727154,2812.017602,4.485,0.684,0.459,0.324,0.048,883.024111719809,2.89250112,6.479,16.9742129632327,2697845.0,37
Malawi,MWI,0.517,67.353,9.902591705,5.243740082,1633.692615,3.421,0.41,0.571,0.135,0.136,633.214767978695,6.53459597,5.009,28.7897428247298,21104482.0,34
Benin,BEN,0.515,60.774,10.4464798,3.194200039,3805.527516,4.377,0.128,0.567,0.112,0.252,1394.17784721831,3.33732462,1.641,2.73870078406074,14111034.0,45
Liberia,LBR,0.51,62.163,10.46585369,6.169891955,1537.85939,4.269,0.673,0.546,0.178,0.075,799.194470229642,13.00574875,2.905,10.0944535665552,5493031.0,28
Guinea,GIN,0.5,60.74,10.39330626,2.486339025,3494.347723,5.023,0.622,0.521,0.21,0.107,1555.49375806861,3.69442987,5.141,7.80497591927973,14405468.0,26
Ethiopia,ETH,0.497,67.315,9.217651571,2.402539813,2795.506984,3.861,0.915,0.441,0.27,0.101,1055.81091592527,2.80310345,3.375,30.2188278135278,128691692.0,38
Afghanistan,AFG,0.496,66.035,10.79014324,2.514790058,1971.549458,1.721,0.0,0.0,0.091,0.088,413.757894705303,14.9857626,14.008,-4.64470870797774,41454761.0,16
Mozambique,MOZ,0.493,63.611,10.84830885,4.590489864,1355.767076,5.216,0.883,0.728,0.158,0.196,622.000297682823,8.50126553,6.661,7.12697482131851,33635160.0,21
Madagascar,MDG,0.487,63.632,9.062584503,4.592520237,1655.764683,4.228,0.823,0.25,0.172,0.123,508.718427705591,3.42822957,3.044,9.87432675044888,31195932.0,25
Sierra Leone,SLE,0.467,61.786,9.064124575,3.535297609,1713.727772,3.245,0.566,0.469,0.181,0.053,758.329137378248,4.71883011,3.092,47.6428733253179,8460512.0,34
Burkina Faso,BFA,0.459,61.092,8.733340263,2.266550064,2390.527778,4.548,0.685,0.483,0.173,0.179,873.482589651003,7.79943228,3.601,0.742910428668917,23025776.0,40
Mali,MLI,0.419,60.439,7.011331533,1.629999995,2341.588118,4.232,0.688,0.586,0.12,0.09,1043.9533853528,3.81316996,2.947,2.05880228274223,23769127.0,28
Niger,NER,0.419,61.183,8.308919801,1.412289341,1590.18796,4.556,0.677,0.615,0.145,0.147,638.336080897887,4.04895782,0.407,3.70097316425834,26159867.0,31
Chad,TCD,0.416,55.069,8.347590231,2.334984892,1748.000992,4.471,0.805,0.411,0.218,0.113,949.333453674592,4.99707747,1.059,10.8363568399843,19319064.0,22
